id,host_name,host_since,latitude,longitude,room_type,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,has_availability,availability_30,availability_60,availability_90,availability_365,x,y
14824371,Dustin,11/29/2015,20.02710434,-155.7233577,Entire home/apt,3,4,4,248,,,$0.00 ,$255.00 ,6,$37.00 ,t,20,49,76,338,215088.6588,2216800.779
14886512,Tracey & Jim,3/10/2009,19.91810706,-155.8824598,Entire home/apt,2,2,4,140,,,$500.00 ,$150.00 ,1,$0.00 ,t,1,1,1,197,198225.5945,2205006.649
15602451,Andrea,5/6/2013,20.02735808,-155.7205627,Entire home/apt,2,2,3,145,,,$200.00 ,$0.00 ,1,$0.00 ,t,2,2,2,66,215381.692,2216824.119
15686745,Pamela,4/7/2015,20.11883438,-155.5831185,Entire home/apt,3.5,5,5,1255,,,"$1,200.00 ",$700.00 ,2,$30.00 ,t,9,31,43,225,229925.3305,2226726.687
16228437,William,1/28/2015,20.02453605,-155.7053043,Entire home/apt,1,1,1,130,,,$200.00 ,$50.00 ,1,$0.00 ,t,3,25,52,142,216973.8463,2216485.644
16472243,Harold,12/7/2016,19.82238189,-155.9907337,Entire home/apt,2,2,2,900,,,,$474.00 ,1,$0.00 ,t,0,0,0,0,186693.9112,2194600.916
16472248,Harold,12/7/2016,19.93929149,-155.8622888,Entire home/apt,2,2,2,299,,,,$300.00 ,1,$0.00 ,t,0,0,0,0,200378.7172,2207317.04
16472252,Harold,12/7/2016,19.94085167,-155.8629185,Entire home/apt,3,3,3,429,,,,$328.00 ,1,$0.00 ,t,0,0,0,0,200315.7058,2207490.98
16472253,Harold,12/7/2016,20.10314485,-155.8175136,Entire home/apt,3,4,4,645,,,,$382.00 ,1,$0.00 ,t,0,0,0,0,205374.4846,2225386.665
16472256,Harold,12/7/2016,19.94702955,-155.8580799,Entire home/apt,2,2,2,239,,,,$273.00 ,1,$0.00 ,t,0,0,0,0,200834.1785,2208166.64
16472259,Harold,12/7/2016,20.00120368,-155.8092331,Entire home/apt,2,2,2,299,,,,$273.00 ,1,$0.00 ,t,0,0,0,0,206050.9287,2214080.705
16472260,Harold,12/7/2016,20.00246854,-155.8072712,Entire home/apt,2,2,2,299,,,,$273.00 ,1,$0.00 ,t,0,0,0,0,206258.6922,2214217.358
16472265,Harold,12/7/2016,19.93909039,-155.8637053,Entire home/apt,3,3,3,399,,,,$460.00 ,1,$0.00 ,t,0,0,0,0,200229.9641,2207297.296
16472266,Harold,12/7/2016,19.92893065,-155.8871669,Entire home/apt,2,3,3,280,,,,$289.00 ,1,$0.00 ,t,0,0,0,1,197753.0746,2206214.019
16559389,Dustin,11/29/2015,20.02629724,-155.7212937,Private room,1,1,1,74,,,$0.00 ,$55.00 ,1,$20.00 ,t,20,50,77,349,215303.2598,2216707.869
16559478,Dustin,11/29/2015,20.02783256,-155.7213021,Private room,1,1,1,68,,,$0.00 ,$55.00 ,2,$20.00 ,t,24,54,81,353,215305.1485,2216877.93
16628474,Katherine,2/20/2012,20.04741892,-155.6068648,Private room,1,1,1,65,,,,$50.00 ,2,$10.00 ,t,15,37,51,231,227317.6,2218856.206
17318915,South Kohala,11/10/2015,19.9469638,-155.8565761,Entire home/apt,2.5,3,4,727,,,$0.00 ,$357.00 ,1,$0.00 ,t,13,30,39,293,200991.5636,2208156.676
17318917,South Kohala,11/10/2015,19.93774499,-155.8622051,Entire home/apt,4.5,4,4,2687,,,$0.00 ,$670.00 ,1,$0.00 ,t,7,26,56,312,200384.5638,2207145.591
17318921,South Kohala,11/10/2015,19.93671892,-155.8631723,Entire home/apt,4.5,5,6,3359,,,$0.00 ,$774.00 ,1,$0.00 ,t,8,26,47,271,200281.314,2207033.665
17318932,South Kohala,11/10/2015,19.93753769,-155.8749962,Entire home/apt,3,3,3,1710,,,$0.00 ,$404.00 ,1,$0.00 ,t,7,34,48,316,199044.3324,2207145.523
17588844,South Kohala,11/10/2015,20.01946918,-155.7340415,Entire home/apt,3.5,3,4,1832,,,$0.00 ,$565.00 ,1,$0.00 ,t,2,4,27,223,213956.4642,2215973.382
17588973,South Kohala,11/10/2015,19.91895378,-155.8838474,Entire home/apt,4.5,4,4,5496,,,$0.00 ,$800.00 ,1,$0.00 ,t,14,23,35,250,198081.8367,2205102.932
