,user_id,longitude,latitude,date_taken,photo/video_page_url,x,y
16,70323761@N00,139.714699,35.641641,2011-05-12 03:29:33.0,http://www.flickr.com/photos/70323761@N00/5746820017/,383935.3443845657,3944207.2818059935
17,49503031704@N01,139.708,35.669833000000004,2011-12-21 22:53:35.0,http://www.flickr.com/photos/49503031704@N01/6553547105/,383369.9136706877,3947342.2296479107
18,66620281@N02,139.88253799999998,35.633961,2013-10-24 11:59:05.0,http://www.flickr.com/photos/66620281@N02/10610530846/,399121.89245680405,3943169.7662212737
19,26414679@N05,139.7937,35.62883,2010-08-14 13:56:30.0,http://www.flickr.com/photos/26414679@N05/4891224298/,391070.7416107297,3942695.697547668
20,81491022@N00,139.746522,35.657226,2009-01-13 23:53:05.0,http://www.flickr.com/photos/81491022@N00/3810397367/,386838.68169744883,3945898.7266486757
21,44333545@N00,139.791841,35.54787,2006-01-27 22:21:03.0,http://www.flickr.com/photos/44333545@N00/91787921/,390792.1986908924,3933718.0389236533
22,7274020@N06,139.797077,35.631244,2011-11-30 21:20:36.0,http://www.flickr.com/photos/7274020@N06/6431320025/,391379.8208033517,3942959.703798511
23,88064208@N00,139.75148000000002,35.705913,2012-11-30 22:11:44.0,http://www.flickr.com/photos/88064208@N00/8232896212/,387356.1403811687,3951293.267200981
24,79958256@N00,139.703264,35.694353,2010-04-11 23:13:39.0,http://www.flickr.com/photos/79958256@N00/4575832352/,382977.16646859574,3950067.5972070545
25,56541240@N00,139.796315,35.711735,2008-11-03 11:40:27.0,http://www.flickr.com/photos/56541240@N00/3000200379/,391420.1995537748,3951888.3676568633
26,14003952@N04,139.798938,35.713897,2012-08-12 09:31:22.0,http://www.flickr.com/photos/14003952@N04/7866417206/,391660.41413947206,3952125.2649860643
27,21225669@N00,139.702601,35.669863,2006-07-16 15:54:49.0,http://www.flickr.com/photos/21225669@N00/190710511/,382881.29570462136,3947351.996633295
28,19714819@N00,139.72952800000002,35.660739,2012-05-11 21:42:38.0,http://www.flickr.com/photos/19714819@N00/7959367514/,385305.36141398887,3946308.133820733
29,26672799@N03,139.570784,35.696701000000004,2008-05-25 15:37:07.0,http://www.flickr.com/photos/26672799@N03/2521364120/,370993.7943226313,3950494.43468711
30,26414679@N05,139.652694,35.585227,2010-09-25 18:29:02.0,http://www.flickr.com/photos/26414679@N05/5022832147/,378235.6094864007,3938025.11887319
31,17032975@N00,139.7985,35.671665999999995,2011-01-13 12:28:56.0,http://www.flickr.com/photos/17032975@N00/5351154032/,391563.4796258643,3947441.599694051
32,53869907@N00,139.707255,35.685414,2006-10-03 09:38:22.0,http://www.flickr.com/photos/53869907@N00/287866088/,383325.227814913,3949071.3348448663
33,9658962@N05,139.718799,35.712353,2011-05-16 15:27:46.0,http://www.flickr.com/photos/9658962@N05/5736600616/,384408.85991887056,3952045.680060386
34,55305480@N00,139.708897,35.726277,2013-05-31 18:30:08.0,http://www.flickr.com/photos/55305480@N00/9332587666/,383533.42956384073,3953601.854655292
35,55421343@N00,139.87,35.7887,2011-03-19 15:17:28.0,http://www.flickr.com/photos/55421343@N00/5539557392/,398184.1876584754,3960345.8887174125
36,36725576@N00,139.701976,35.658551,2010-04-08 05:32:59.0,http://www.flickr.com/photos/36725576@N00/4548033030/,382808.152795766,3946098.0376932384
37,58776404@N00,139.76220800000002,35.714257,2008-03-22 17:27:02.0,http://www.flickr.com/photos/58776404@N00/2379346131/,388338.35605090123,3952206.477090863
38,94611163@N00,139.581031,35.706247,2007-04-28 19:54:39.0,http://www.flickr.com/photos/94611163@N00/475729382/,371936.25695087283,3951539.834552145
39,44851088@N00,139.713119,35.731388,2013-09-20 07:14:14.0,http://www.flickr.com/photos/44851088@N00/9832809403/,383922.72797379555,3954163.7455972675
40,24736216@N07,139.734549,35.680847,1967-05-01 00:00:00.0,http://www.flickr.com/photos/24736216@N07/3407654992/,385788.58786208223,3948532.604942857
41,71453924@N00,139.800222,35.7155,2012-05-19 13:57:06.0,http://www.flickr.com/photos/71453924@N00/7293186900/,391778.7368709891,3952301.6454635668
